,ID,SN
183,z_5_flares_04_gal_116_alma.fits,3.68
184,z_6_flares_20_gal_010_alma.fits,5.98
185,z_5_flares_16_gal_117_alma.fits,8.55
186,z_6_flares_18_gal_015_alma.fits,5.17
187,z_5_flares_14_gal_143_alma.fits,7.63
188,z_6_flares_02_gal_066_alma.fits,3.37
189,z_8_flares_12_gal_003_alma.fits,3.4
190,z_5_flares_18_gal_010_alma.fits,7.7
191,z_5_flares_01_gal_113_alma.fits,7.21
192,z_6_flares_07_gal_028_alma.fits,7.12
193,z_7_flares_10_gal_036_alma.fits,5.29
194,z_9_flares_02_gal_005_alma.fits,2.75
195,z_6_flares_37_gal_000_alma.fits,3.43
196,z_6_flares_11_gal_045_alma.fits,4.55
197,z_5_flares_15_gal_106_alma.fits,9.99
198,z_5_flares_15_gal_092_alma.fits,3.32
199,z_8_flares_14_gal_008_alma.fits,3.53
200,z_5_flares_08_gal_038_alma.fits,5.48
201,z_7_flares_07_gal_020_alma.fits,11.33
202,z_5_flares_07_gal_050_alma.fits,9.16
203,z_8_flares_26_gal_000_alma.fits,6.3
204,z_5_flares_22_gal_024_alma.fits,8.24
205,z_7_flares_02_gal_012_alma.fits,3.06
206,z_5_flares_00_gal_173_alma.fits,3.45
207,z_5_flares_05_gal_052_alma.fits,12.96
208,z_6_flares_03_gal_037_alma.fits,5.67
209,z_8_flares_05_gal_010_alma.fits,4.64
210,z_5_flares_05_gal_056_alma.fits,13.44
211,z_7_flares_13_gal_006_alma.fits,3.97
212,z_5_flares_04_gal_144_alma.fits,3.64
213,z_6_flares_13_gal_025_alma.fits,9.82
214,z_5_flares_18_gal_008_alma.fits,12.14
215,z_5_flares_17_gal_123_alma.fits,8.74
216,z_8_flares_17_gal_006_alma.fits,4.55
217,z_5_flares_17_gal_118_alma.fits,13.97
218,z_6_flares_14_gal_079_alma.fits,6.1
219,z_5_flares_09_gal_000_alma.fits,8.47
220,z_6_flares_02_gal_024_alma.fits,4.66
221,z_10_flares_07_gal_000_alma.fits,3.21
222,z_5_flares_06_gal_187_alma.fits,15.06
223,z_9_flares_14_gal_004_alma.fits,4.05
224,z_5_flares_15_gal_035_alma.fits,4.24
225,z_5_flares_17_gal_091_alma.fits,5.69
226,z_8_flares_23_gal_000_alma.fits,3.65
227,z_7_flares_11_gal_041_alma.fits,3.91
228,z_7_flares_03_gal_034_alma.fits,3.29
229,z_5_flares_02_gal_081_alma.fits,12.26
230,z_5_flares_01_gal_067_alma.fits,5.8
231,z_7_flares_09_gal_000_alma.fits,3.89
232,z_5_flares_05_gal_054_alma.fits,5.05
233,z_5_flares_19_gal_018_alma.fits,11.96
234,z_5_flares_08_gal_213_alma.fits,11.81
235,z_6_flares_08_gal_127_alma.fits,3.93
236,z_7_flares_07_gal_010_alma.fits,3.86
237,z_6_flares_15_gal_002_alma.fits,9.82
238,z_5_flares_15_gal_182_alma.fits,14.37
239,z_5_flares_01_gal_091_alma.fits,7.19
240,z_5_flares_11_gal_101_alma.fits,6.12
241,z_7_flares_10_gal_033_alma.fits,4.49
242,z_5_flares_17_gal_078_alma.fits,13.81
243,z_5_flares_00_gal_060_alma.fits,9.49
244,z_5_flares_11_gal_137_alma.fits,3.05
245,z_7_flares_06_gal_042_alma.fits,3.93
246,z_6_flares_07_gal_065_alma.fits,3.44
247,z_6_flares_07_gal_051_alma.fits,8.5
