,ID,Redshift,Lum 156um,HLR 156um
151,z_5/flares_17/gal_099,5,1.570085045651032e+31,1.9428529088924078
152,z_5/flares_17/gal_104,5,9.145184263073296e+30,4.8107205805122915
153,z_5/flares_17/gal_126,5,1.6504145757273559e+31,1.5451146126909363
154,z_5/flares_17/gal_086,5,3.7661351597111253e+31,1.709693920935806
155,z_5/flares_17/gal_000,5,5.9089761833234776e+32,4.297003145731204
156,z_5/flares_17/gal_113,5,3.130591652692148e+31,1.478478833212736
157,z_5/flares_17/gal_023,5,1.0517402767003482e+32,3.2584010300275095
158,z_5/flares_17/gal_020,5,6.296974757054886e+30,24.348381896899475
159,z_5/flares_17/gal_075,5,3.546307317427689e+30,15.3673960257984
160,z_5/flares_17/gal_060,5,4.155192093877265e+31,1.68447480258377
161,z_5/flares_17/gal_032,5,5.7927335911355985e+31,1.04774970203319
162,z_5/flares_17/gal_088,5,7.708654139373449e+31,1.6606287501010728
163,z_5/flares_17/gal_084,5,5.115929998373152e+31,3.037731683398045
164,z_5/flares_17/gal_119,5,4.555751404751902e+31,1.472132884335597
165,z_5/flares_17/gal_122,5,2.3604306111571997e+31,0.9217554589910667
166,z_5/flares_17/gal_044,5,1.9139004179602604e+32,2.7361784873296235
167,z_5/flares_17/gal_095,5,1.8277221404236705e+31,2.060548454703534
168,z_5/flares_17/gal_035,5,3.1445440411730677e+31,2.2364479456918978
169,z_5/flares_17/gal_093,5,5.7239421405851435e+31,1.7700688145809724
170,z_5/flares_17/gal_077,5,4.992666091389197e+31,1.7114002722135573
171,z_5/flares_17/gal_063,5,3.8989913719868556e+30,19.35776544225344
172,z_5/flares_17/gal_028,5,5.455693826548542e+31,0.9981745688416417
173,z_5/flares_17/gal_027,5,1.3314142635178696e+32,2.1962856749418807
174,z_5/flares_17/gal_036,5,1.339038901011157e+31,2.4622193145500364
175,z_5/flares_17/gal_101,5,3.833624223744145e+31,1.3444774249934441
176,z_5/flares_17/gal_045,5,8.61318147723138e+31,4.378466588114646
177,z_5/flares_39/gal_000,5,5.185997263815725e+31,1.4966031124157382
178,z_5/flares_16/gal_056,5,1.8630851582857995e+32,1.2155919888971485
179,z_5/flares_16/gal_094,5,5.25180587504424e+31,1.9700802344380315
180,z_5/flares_16/gal_039,5,7.220296440357849e+31,2.758316203067327
181,z_5/flares_16/gal_049,5,8.380532559526974e+31,2.206611885814226
182,z_5/flares_16/gal_042,5,8.721167528789049e+31,1.9686833346338641
183,z_5/flares_16/gal_013,5,1.3519249117462888e+32,1.8489063023250134
184,z_5/flares_16/gal_037,5,6.101310551896949e+30,3.98474482125473
185,z_5/flares_16/gal_083,5,2.489795304209439e+31,2.389842118605271
186,z_5/flares_16/gal_061,5,7.353122297880736e+31,1.869586312072138
187,z_5/flares_16/gal_055,5,2.898342277283389e+31,1.9215867409056484
188,z_5/flares_16/gal_005,5,3.4480241636326816e+31,2.121159011273223
189,z_5/flares_16/gal_069,5,5.828126871625073e+31,1.0657030106295315
190,z_5/flares_16/gal_117,5,2.448640583712264e+31,1.809808775653308
191,z_5/flares_16/gal_108,5,1.8553965486085357e+31,1.7043932043670893
192,z_5/flares_16/gal_053,5,1.0297190251718799e+32,0.9454130551403973
193,z_5/flares_16/gal_004,5,9.314851716782234e+31,3.1837145766786574
194,z_5/flares_16/gal_103,5,6.813529924109383e+30,17.976971731941347
195,z_5/flares_16/gal_092,5,1.0156080700472967e+32,1.1302141342590861
196,z_5/flares_16/gal_024,5,5.423344733782991e+31,2.37649252678896
197,z_5/flares_16/gal_048,5,7.8842298033630495e+31,2.0965318968424285
198,z_5/flares_16/gal_106,5,1.0357875095286194e+31,1.4274734617821745
199,z_5/flares_16/gal_097,5,6.2224733000417195e+31,1.0819605650825757
200,z_5/flares_16/gal_079,5,3.332776647645692e+31,1.8895126842334171
201,z_5/flares_16/gal_014,5,1.4298589061294288e+32,1.5073335119889952
202,z_5/flares_16/gal_022,5,6.262165811838891e+30,13.44598520991511
203,z_5/flares_16/gal_029,5,3.0115957919371447e+32,2.6587291517874663
